X Y Z VX VY VZ IP PHI FACIE
314180.0 7020459.0 3472.109502 101 533 8 15210.5 1.79265 2
314180.0 7020459.0 3478.360525 101 533 9 15210.7 3.21747 2
314180.0 7020459.0 3484.611548 101 533 10 14421.9 6.6482 1
314180.0 7020459.0 3490.862571 101 533 11 14110.2 4.9561 1
314180.0 7020459.0 3497.113594 101 533 12 12962.3 8.77541 1
314180.0 7020459.0 3503.364617 101 533 13 12805.3 10.479 0
314180.0 7020459.0 3509.61564 101 533 14 13168.7 7.97776 1
314180.0 7020459.0 3515.866663 101 533 15 13188.7 6.4235 1
314180.0 7020459.0 3522.117686 101 533 16 13000.3 9.6664 0
314180.0 7020459.0 3528.368709 101 533 17 12948.4 9.15621 0
314180.0 7020459.0 3534.619732 101 533 18 15911.1 1.80262 2
314180.0 7020459.0 3540.870755 101 533 19 16096.5 1.94013 2
314180.0 7020459.0 3547.121778 101 533 20 14442.0 5.57737 2
314180.0 7020459.0 3553.372801 101 533 21 14603.2 8.79928 0
314180.0 7020459.0 3559.623824 101 533 22 15039.5 2.06537 2
314180.0 7020459.0 3565.874847 101 533 23 15411.4 1.38567 2
314180.0 7020459.0 3572.12587 101 533 24 15603.4 1.45788 2
314180.0 7020459.0 3578.376893 101 533 25 16009.3 1.41277 2
314180.0 7020459.0 3584.627916 101 533 26 16391.3 1.2634 2
314180.0 7020459.0 3590.878939 101 533 27 16438.8 1.33428 2
314180.0 7020459.0 3597.129962 101 533 28 16391.5 1.59929 2
314180.0 7020459.0 3603.380985 101 533 29 16353.4 1.79114 2
314180.0 7020459.0 3609.632008 101 533 30 16341.9 1.90567 2
314180.0 7020459.0 3615.883031 101 533 31 16219.3 2.13423 2
314180.0 7020459.0 3622.134054 101 533 32 16120.9 2.31059 2
314180.0 7020459.0 3628.385077 101 533 33 16108.8 2.36016 2
314180.0 7020459.0 3634.6361 101 533 34 16104.9 2.38882 2
314180.0 7020459.0 3640.887123 101 533 35 15985.3 2.56063 2
314180.0 7020459.0 3647.138146 101 533 36 15983.7 2.57424 2
314180.0 7020459.0 3653.389169 101 533 37 16154.0 2.36122 2
