X Y Z VX VY VZ IP PHI FACIE
317700.0 7011406.0 3603.380985 242 171 29 15667.3 2.92068 2
317700.0 7011406.0 3609.632008 242 171 30 14788.4 7.46081 1
317700.0 7011406.0 3615.883031 242 171 31 14637.2 3.2717 2
317700.0 7011406.0 3622.134054 242 171 32 14595.5 5.18507 2
317700.0 7011406.0 3628.385077 242 171 33 14454.1 5.78147 2
317700.0 7011406.0 3634.6361 242 171 34 16095.9 2.90268 2
317700.0 7011406.0 3640.887123 242 171 35 16093.7 1.53022 2
317700.0 7011406.0 3647.138146 242 171 36 15856.7 3.81843 2
317700.0 7011406.0 3653.389169 242 171 37 12894.7 11.3823 0
317700.0 7011406.0 3659.640192 242 171 38 12000.1 14.4794 0
317700.0 7011406.0 3665.891215 242 171 39 11275.8 13.6558 0
317700.0 7011406.0 3672.142238 242 171 40 13281.8 6.21466 1
317700.0 7011406.0 3678.393261 242 171 41 14127.6 1.93717 2
317700.0 7011406.0 3684.644284 242 171 42 14876.2 0.979462 2
317700.0 7011406.0 3690.895307 242 171 43 14783.0 1.09953 2
317700.0 7011406.0 3697.14633 242 171 44 14727.4 1.70048 2
317700.0 7011406.0 3703.397353 242 171 45 14689.9 2.48534 2
317700.0 7011406.0 3709.648376 242 171 46 14687.6 2.7693 2
317700.0 7011406.0 3715.899399 242 171 47 14682.1 3.2073 2
317700.0 7011406.0 3722.150422 242 171 48 14765.8 3.40251 2
317700.0 7011406.0 3728.401445 242 171 49 15005.0 3.32245 2
317700.0 7011406.0 3734.652468 242 171 50 15067.4 3.40016 2
317700.0 7011406.0 3740.903491 242 171 51 15173.6 3.38527 2
317700.0 7011406.0 3747.154514 242 171 52 15282.4 3.33669 2
317700.0 7011406.0 3753.405537 242 171 53 15345.7 3.31386 2
317700.0 7011406.0 3759.65656 242 171 54 15475.5 3.18019 2
317700.0 7011406.0 3765.907583 242 171 55 15541.3 3.1028 2
317700.0 7011406.0 3772.158606 242 171 56 15782.8 2.81041 2
317700.0 7011406.0 3778.409629 242 171 57 16084.1 2.43078 2
317700.0 7011406.0 3784.660652 242 171 58 16085.3 2.44007 2
